,Name,Price,Vendor,VendorLink
0,"HP ChromeBook 14 G4 - Intel Celeron 02GB 16GB SSD 14"" HD 720p LED ChromeOS With Default Set of HP App (Black, Used)","Rs. 16,999",Paklap,https://www.paklap.pk/hp-chromebook-14-g4-laptop-price-in-pakistan.html
1,"HP ProBook MT31 Mobile Thin Client - Intel Celeron 04GB to 16GB 128GB SSD to 1-TB SSD + Optional HDD 13.3"" HD 720p Display (Open Box)","Rs. 46,500",Paklap,https://www.paklap.pk/hp-probook-mt31-intel-celeron-laptop-price-pakistan.html
2,"HP Chromebook x360 11 G3 EE - Intel Celeron N4020 04GB 32GB eMMC 11.6"" HD IPS eDP Brightview Touchscreen Convertible Display Dual WebCam ChromeOS (Chalkboard Gray, Open Box)","Rs. 48,500",Paklap,https://www.paklap.pk/hpchromebookx360-11-g3.html
3,"Lenovo Ideapad 330 - Intel Celeron (4MB Cache) 04GB 1TB HDD 15.6"" HD 720p Antiglare LED USB-C (Colors Available, 3 Years Lenovo Direct Local Warranty)","Rs. 52,999",Paklap,https://www.paklap.pk/lenovo-ideapad-330-celeron-laptop-pakistan-3yr.html
4,"HP Engage Go Mobile Tablet PC - 7th Gen Intel Core M3 7Y30 04 GB RAM 128 GB SSD 12.3"" Full HD 1080p IPS Touchscreen Display Webcam (Tablet Only With BuiltIn BarCore Scanner, Open Box)","Rs. 54,500",Paklap,https://www.paklap.pk/hpengagego.html
5,"HP ChromeBook x360 14b CA0000TU - Intel Pentium Celeron N5000 QuadCore 08GB 64GB 14"" Full HD IPS x360 Touchscreen Convertible WIFI Bluetooth Card Reader HD Webcam B&O Play Dual Sound Backlit KB ChromeOS (White, Open Box)","Rs. 54,900",Paklap,https://www.paklap.pk/hp-chromebook-x360-15-ca0000tu-pakistan.html
6,"Dell Vostro 14 3401 Thin Business Laptop Ice Lake - 10th Gen Core i3 04GB to 32GB 1-TB HDD + Optional SSD 14"" HD 720p Narrow Border Display TPM (Accent Black, Dell Direct Local Warranty)","Rs. 67,500",Paklap,https://www.paklap.pk/dell-vostro-14-3401-core-i3-10th-gen-laptop-pakistan.html
7,"HP ChromeBook x2 12 F009tu - 7th Gen Core i5 08GB 64GB eMMC 12.3"" 2K IPS Detachable Touchscreen Display B&O Play ChromeOS (Ceramic Top, Cloud Blue Keyboard Base, Open Box)","Rs. 68,000",Paklap,https://www.paklap.pk/hp-chromebook-x2-12-f009tu.html
8,"Viper P40 Notebook - 10th Generation Intel Core i3 1005G1 Processor 1.2GHz / 3.40GHz 14"" HD LCD 4GB DDR4 2667MHz 256GB SSD US Chocolate 2 fingers multi-gesture function Water resistance (100cc) Dos Black Color (01 Year Local Warranty)","Rs. 69,799",Paklap,https://www.paklap.pk/viper-p40-notebook-10th-gen-core-i3-laptop-pakistan.html
9,"Lenovo V15 15 Ice Lake - 10th Gen Core i3 04GB 1-TB HDD 15.6"" Full HD 1080p LED (Iron Grey. With Lenovo Carry Case, Lenovo Direct Local Warranty)","Rs. 72,500",Paklap,https://www.paklap.pk/lenovo-v15-15-10th-gen-core-i3-laptop-pakistan-1yr.html
