,0,1,2
0,Rs,"214,900.00",
1,Rs,"234,900.00",
2,Rs,"41,999.00",
3,Rs,"20,900.00",
4,Rs,"19,900.00",
5,Rs,"33,900.00",
6,Rs,"33,999.00",
7,Rs,"43,999.00",
8,Rs,"64,900.00",
9,Rs,"11,500.00",
10,Rs,"12,999.00",
11,Rs,"14,500.00",
12,Rs,"18,999.00",
13,Rs,"23,900.00",
14,Rs,"29,000.00",
15,Rs,"32,000.00",
16,Rs,"40,000.00",
17,Rs,"8,500.00",
18,Rs,"89,900.00",
19,Rs,"158,900.00",
20,Rs,"20,999.00",
21,Rs,"25,999.00",
22,Rs,"47,999.00",
23,Rs,"49,999.00",
24,Rs,"84,999.00",
25,Rs,"104,999.00",
26,Rs,"27,999.00",
27,Rs,"59,999.00",
28,Rs,"59,999.00",
29,Rs,"47,999.00",
30,Rs,"31,999",
31,Rs,"18,999",
32,Rs,"16,999",
33,"₨199,999.00",,
34,"₨68,000.00",,
35,"₨12,959.00","₨13,499.00",
36,"₨18,999.00",,
37,"₨21,984.00","₨22,900.00",
38,"₨24,999.00",,
39,"₨26,999.00",,
40,"₨43,999.00",,
41,"₨36,000.00",,
42,"₨18,999.00",,
43,"₨29,999.00",,
44,"₨38,200.00","₨39,999.00",
45,"₨61,500.00","₨64,999.00",
46,"₨15,800.00","₨16,999.00",
47,"₨20,999.00",,
48,"₨39,999.00",,
49,"₨16,000.00",,
50,"₨53,999.00",,
51,"₨309,499.00",,
52,"₨267,999.00",,
53,"₨10,000.00
₨11,500.00",,
54,"₨5,616.00","₨5,850.00",
55,"₨14,800.00","₨15,999.00",
56,"₨18,900.00",,
57,"₨19,000.00","₨21,000.00",
58,"₨23,500.00","₨24,500.00",
59,"₨21,000.00","₨23,000.00",
60,"₨29,000.00","₨31,000.00",
61,"₨25,200.00","₨27,200.00",
62,"₨14,000.00","₨16,000.00",
63,"₨158,100.00","₨160,100.00",
64,"₨64,000.00","₨66,000.00",
65,"₨54,000.00","₨56,000.00",
66,"₨54,000.00","₨56,000.00",
67,"₨38,800.00","₨40,800.00",
68,"₨26,500.00","₨31,000.00",
69,"₨15,999.00","₨16,999.00",
70,"₨1,899.00",,
71,"₨1,950.00",,
72,"₨2,799.00",,
73,"₨13,499.00",,
74,"₨198,000.00","₨232,000.00",
75,"₨168,000.00","₨170,000.00",
76,"₨67,000.00",,
77,"₨50,000.00",,
78,"₨46,000.00",,
79,"₨114,000.00",,
80,"₨28,999.00","₨31,000.00",
81,"₨18,700.00","₨20,200.00",
82,"₨17,500.00",,
83,"₨2,200.00","₨24,300.00",
84,"₨17,500.00","₨20,000.00",
85,"₨25,300.00",,
86,"₨18,150.00",,
87,"₨17,100.00",,
88,"₨15,000.00",,
89,"₨30,350.00",,
90,"₨27,500.00",,
91,"₨15,800.00",,
92,"₨24,100.00",,
93,"₨26,000.00",,
94,"₨21,100.00",,
95,"₨15,800.00",,
96,"₨24,100.00",,
97,"₨26,000.00",,
98,"₨20,000.00","₨22,000.00",
99,"₨71,500.00",,
100,"₨26,000.00","₨28,000.00",
101,"₨18,400.00",,
102,"₨27,839.00","₨28,999.00",
103,"₨2,808.00","₨2,925.00",
104,"₨20,400.00",,
105,"₨12,200.00",,
106,"₨47,600.00","₨49,999.00",
107,"₨33,400.00","₨34,999.00",
108,"₨56,800.00","₨59,999.00",
109,"₨5,850.00",,
110,"₨2,687.00","₨2,799.00",
111,"₨29,999.00","₨31,999.00",
112,"₨12,999.00","₨13,600.00",
113,"₨29,900.00",,
114,"₨30,000.00",,
115,"₨43,999.00",,
116,"₨25,900.00",,
117,"₨16,900.00",,
118,"₨18,999.00",,
119,"₨14,500.00",,
120,"₨18,900.00",,
121,"₨82,500.00","₨83,999.00",
122,"₨1,449.00",,
123,"₨9,200.00","₨10,400.00",
124,"₨14,499.00",,
125,"₨13,499.00",,
126,"₨18,999.00",,
127,"₨39,999.00",,
128,"₨39,999.00",,
129,"₨54,999.00",,
130,"₨59,999.00",,
131,"₨23,039.00","₨23,999.00",
132,"₨21,199.00","₨21,999.00",
133,"₨26,889.00","₨27,999.00",
134,"₨25,999.00",,
135,"₨24,960.00","₨25,999.00",
136,"₨21,999.00",,
137,"₨16,999.00",,
138,"₨19,199.00","₨19,999.00",
139,"₨15,999.00",,
140,"₨26,459.00","₨26,999.00",
141,"₨13,399.00","₨13,999.00",
142,"₨48,800.00",,
143,"₨34,999.00","₨36,999.00",
144,"₨79,999.00",,
145,"₨54,999.00",,
146,"₨44,999.00",,
147,"₨39,999.00",,
148,"₨40,999.00",,
149,"₨29,999.00",,
150,"₨24,999.00",,
151,"₨16,999.00",,
152,"₨150,999.00",,
153,"₨111,999.00",,
154,"₨89,999.00",,
155,"₨62,999.00",,
156,"₨57,999.00",,
157,"₨13,399.00","₨13,999.00",
158,"₨48,800.00",,
159,"₨34,999.00","₨36,999.00",
160,"₨79,999.00",,
161,"₨54,999.00",,
162,"₨44,999.00",,
163,"₨39,999.00",,
164,"₨40,999.00",,
165,"₨29,999.00",,
166,"₨24,999.00",,
167,"₨16,999.00",,
168,"₨150,999.00",,
169,"₨111,999.00",,
170,"₨89,999.00",,
171,"₨62,999.00",,
172,"₨57,999.00",,
173,"₨45,999.00",,
174,"₨43,999.00",,
175,"₨40,999.00",,
176,"₨36,999.00",,
177,"₨33,999.00",,
178,"₨30,499.00",,
179,"₨22,999.00",,
180,"₨16,499.00",,
181,"₨27,499.00",,
182,"₨38,399.00","₨39,999.00",
183,"₨28,799.00","₨29,999.00",
184,"₨14,304.00","₨14,900.00",
185,"₨14,304.00","₨14,900.00",
186,"₨8,831.00","₨9,199.00",
187,"₨6,623.00","₨6,899.00",
188,"₨19,999.00",,
189,"₨40,999.00",,
190,"₨31,999.00",,
191,"₨19,799.00",,
192,"₨66,999.00",,
193,"₨43,999.00",,
194,"₨35,999.00",,
195,"₨24,999.00",,
196,"₨29,999.00",,
197,"₨33,999.00",,
198,"₨21,999.00",,
199,"₨49,999.00",,
200,"₨27,999.00",,
201,"₨25,999.00",,
202,"₨17,999.00",,
203,"₨31,999.00",,
204,"₨27,999.00",,
205,"₨69,999.00",,
206,"₨44,000.00","₨45,999.00",
207,"₨25,000.00",,
208,"₨22,000.00",,
209,"₨25,999.00",,
210,"₨23,499.00",,
211,"₨19,999.00",,
212,"₨16,999.00",,
213,"₨14,999.00",,
214,"₨11,999.00",,
215,"₨37,999.00",,
216,"₨99,999.00",,
217,"₨31,999.00",,
218,"₨15,999.00",,
219,"₨21,999.00",,
220,"₨26,000.00",,
221,"₨42,000.00",,
222,"₨38,000.00",,
223,"₨37,000.00",,
224,"₨26,500.00",,
225,"₨20,999.00",,
226,"₨15,999.00",,
227,"₨33,999.00",,
228,"₨18,144.00","₨18,900.00",
229,"₨16,992.00","₨17,700.00",
230,"₨13,344.00","₨13,900.00",
231,"₨13,344.00","₨13,900.00",
232,"₨10,992.00
₨11,450.00",,
233,"₨16,500.00","₨16,999.00",
234,"₨15,999.00",,
235,"₨22,999.00",,
236,"₨29,999.00",,
237,"₨23,999.00",,
238,"₨20,999.00",,
239,"₨19,000.00",,
240,"₨14,500.00",,
241,"₨10,999.00",,
242,"₨15,500.00",,
243,"₨157,599.00","₨174,999.00",
244,"₨89,999.00",,
245,"₨18,999.00","₨21,499.00",
246,"₨31,999.00",,
247,"₨22,999.00","₨27,999.00",
248,"₨19,999.00",,
249,"₨36,999.00",,
250,"₨56,999.00",,
251,"₨5,064.00","₨5,275.00",
252,"₨16,999.00",,
253,"₨39,999.00",,
254,"₨59,999.00",,
255,"₨23,999.00",,
256,"₨119,999.00","₨149,990.00",
257,"₨24,999.00",,
258,"₨28,499.00",,
259,"₨59,999.00",,
260,"₨34,999.00",,
261,"₨41,999.00",,
262,"₨19,900.00",,
263,"₨2,925.00",,
264,"₨31,999.00",,
265,"₨38,999.00",,
266,"₨18,999.00",,
267,"₨12,999.00",,
268,"₨194,999.00",,
269,"₨174,999.00",,
270,"₨163,999.00",,
271,"₨288,999.00",,
272,"₨246,999.00",,
273,"₨215,999.00",,
274,"₨11,952.00","₨12,450.00",
275,"₨28,800.00",,
276,"₨23,999.00",,
277,"₨24,999.00",,
278,"₨43,999.00",,
279,"₨236,999.00",,
280,"₨33,499.00",,
281,"₨38,999.00",,
282,"₨18,999.00",,
283,"₨12,999.00",,
284,"₨194,999.00",,
285,"₨174,999.00",,
286,"₨163,999.00",,
287,"₨288,999.00",,
288,"₨246,999.00",,
289,"₨215,999.00",,
290,"₨11,952.00","₨12,450.00",
291,"₨28,800.00",,
292,"₨23,999.00",,
293,"₨24,999.00",,
294,"₨43,999.00",,
295,"₨236,999.00",,
296,"₨33,499.00",,
297,"₨28,999.00",,
298,"₨26,000.00",,
299,"₨24,499.00",,
300,"₨21,999.00",,
301,"₨17,999.00",,
302,"₨19,000.00",,
303,"₨57,000.00",,
304,"₨26,999.00",,
305,"₨25,999.00",,
306,"₨14,999.00",,
307,"₨18,999.00",,
308,"₨31,999.00",,
309,"₨24,999.00",,
310,"₨2,700.00",,
311,"₨15,000.00",,
312,"₨22,000.00",,
313,"₨19,000.00",,
314,"₨20,000.00",,
315,"₨15,500.00",,
316,"₨11,000.00",,
317,"₨27,999.00",,
318,"₨29,999.00",,
319,"₨19,999.00",,
320,"₨16,999.00",,
321,"₨29,000.00",,
322,"₨22,500.00",,
323,"₨30,999.00",,
324,"₨27,499.00",,
325,"₨22,499.00",,
326,"₨90,999.00",,
327,"₨28,999.00",,
328,"₨9,119.00","₨9,499.00",
329,"₨4,703.00","₨4,899.00",
330,"₨3,648.00","₨3,800.00",
331,"₨22,500.00","₨26,000.00",
332,"₨50,000.00",,
333,"₨20,499.00","₨22,499.00",
334,"₨17,499.00",,
335,"₨19,000.00",,
336,"₨15,499.00",,
337,"₨26,499.00","₨27,499.00",
338,"₨25,300.00","₨26,300.00",
339,"₨16,000.00","₨17,200.00",
340,"₨18,000.00","₨19,500.00",
341,"₨12,600.00","₨13,500.00",
342,"₨2,799.00",,
343,"₨29,999.00","₨31,999.00",
344,"₨199,999.00",,
345,"₨39,000.00",,
346,"₨23,999.00",,
347,"₨17,999.00",,
348,"₨20,000.00",,
349,"₨24,000.00","₨24,500.00",
350,"₨19,499.00","₨22,999.00",
351,"₨21,100.00","₨22,000.00",
352,"₨19,499.00","₨19,999.00",
353,"₨15,499.00","₨18,000.00",
354,"₨19,000.00",,
355,"₨15,800.00","₨16,500.00",
356,"₨9,350.00
₨11,000.00",,
357,"₨12,999.00","₨13,600.00",
358,"₨29,900.00",,
359,"₨30,000.00",,
360,"₨25,900.00",,
361,"₨16,900.00",,
362,"₨14,500.00",,
363,"₨79,500.00",,
364,"₨82,500.00","₨83,999.00",
365,,,
366,,,
367,,,
368,,,
369,,,
370,,,
371,,,
372,,,
373,,,
374,,,
375,,,
376,,,
377,,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
384,,,
385,,,
386,,,
387,,,
388,,,
389,,,
390,,,
391,,,
392,,,
393,,,
394,,,
395,Rs,"23,099",
396,Rs,"134,999",
397,Rs,"25,899",
398,Rs,"155,999",
399,5%,OFFRs,"208,000"
400,2%,OFFRs,"19,000"
401,6%,OFFRs,"34,000"
402,10%,OFFRs,"2,900"
403,Rs,"59,999",
404,Rs,"29,198",
405,Rs,"106,999",
406,1%,OFFRs,"5,849"
407,Rs,"162,999",
408,Rs,"127,999",
409,Rs,"71,999",
410,Rs,"109,899",
411,Rs,"37,899",
412,Rs,"2,098",
413,Rs,"92,699",
414,Rs,"59,999",
415,Rs,"71,999",
416,Rs,"116,999",
417,Rs,"99,999",
418,Rs,"29,198",
419,Rs,"134,999",
420,Rs,"155,999",
421,2%,OFFRs,"19,000"
422,10%,OFFRs,"2,900"
423,Rs,"29,198",
424,1%,OFFRs,"5,849"
425,Rs,"127,999",
426,Rs,"109,899",
427,Rs,"2,098",
428,Rs,"59,999",
429,Rs,"116,999",
430,Rs,"29,198",
431,Rs,"19,799",
432,12%,OFFRs,"26,500"
433,Rs,"105,999",
434,Rs,"36,999",
435,Rs,"150,999",
436,Rs,"38,999",
437,0%,OFFRs,"210,000"
438,Rs,"204,999",
439,Rs,"213,649",
440,8%,OFFRs,"11,700"
441,Rs,"213,649",
442,Rs,"2,486",
443,Rs,"25,899",
444,2%,OFFRs,"19,000"
445,Rs,"59,999",
446,1%,OFFRs,"5,849"
447,Rs,"71,999",
448,Rs,"2,098",
449,Rs,"71,999",
450,Rs,"29,198",
451,Rs,"11,879",
452,Rs,"105,999",
453,Rs,"38,999",
454,Rs,"38,999",
455,6%,OFFRs,"18,200"
456,Rs,"213,649",
457,Rs,"19,716",
458,Rs,"2,486",
459,Rs,"2,486",
460,7%,OFFRs,"33,600"
461,Rs,"36,333",
462,Rs,"109,999",
463,Rs,"101,899",
464,11%,OFFRs,"23,500"
465,Rs,"22,299",
466,Rs,"53,279",
467,Rs,"155,999",
468,10%,OFFRs,"2,900"
469,1%,OFFRs,"5,849"
470,Rs,"109,899",
471,Rs,"59,999",
472,Rs,"29,198",
473,12%,OFFRs,"26,500"
474,Rs,"36,999",
475,Rs,"38,999",
476,Rs,"204,999",
477,8%,OFFRs,"11,700"
478,Rs,"2,486",
479,Rs,"137,999",
480,Rs,"104,999",
481,Rs,"109,999",
482,16%,OFFRs,"60,000"
483,Rs,"212,899",
484,Rs,"53,279",
485,6%,OFFRs,"190,000"
486,Rs,"37,999",
487,Rs,"43,599",
488,Rs,"116,999",
489,Rs,"38,500",
490,Rs,"42,579",
491,5%,OFFRs,"208,000"
492,Rs,"29,198",
493,Rs,"71,999",
494,Rs,"59,999",
495,Rs,"1,849",
496,Rs,"105,999",
497,Rs,"22,899",
498,Rs,"204,999",
499,Rs,"19,716",
500,Rs,"213,649",
501,Rs,"125,999",
502,Rs,"109,999",
503,Rs,"137,499",
504,Rs,"139,499",
505,Rs,"189,399",
506,Rs,"37,999",
507,Rs,"48,500",
508,Rs,"99,999",
509,Rs,"2,850",
510,Rs,"46,999",
511,Rs,"23,220",
512,Rs,"119,999",
513,11%,OFFRs,"107,000"
514,4%,OFFRs,"57,500"
515,2%,OFFRs,"19,000"
516,1%,OFFRs,"5,849"
517,Rs,"2,098",
518,Rs,"29,198",
519,Rs,"105,999",
520,Rs,"38,999",
521,Rs,"213,649",
522,Rs,"2,486",
523,7%,OFFRs,"33,600"
524,Rs,"109,999",
525,11%,OFFRs,"23,500"
526,Rs,"53,279",
527,28%,OFFRs,"275,000"
528,Rs,"43,599",
529,Rs,"99,999",
530,Rs,"42,579",
531,Rs,"37,899",
532,Rs,"13,949",
533,11%,OFFRs,"28,000"
534,4%,OFFRs,"57,500"
535,Rs,"44,999",
536,Rs,"85,999",
537,6%,OFFRs,"99,000"
538,Rs,"2,599",
539,6%,OFFRs,"34,000"
540,Rs,"127,999",
541,Rs,"71,999",
542,12%,OFFRs,"26,500"
543,Rs,"22,899",
544,Rs,"213,649",
545,Rs,"11,879",
546,Rs,"104,999",
547,Rs,"101,899",
548,Rs,"139,499",
549,Rs,"27,299",
550,Rs,"43,599",
551,Rs,"16,599",
552,Rs,"72,999",
553,Rs,"23,220",
554,Rs,"137,999",
555,8%,OFFRs,"20,600"
556,Rs,"44,999",
557,Rs,"38,449",
558,Rs,"15,449",
559,Rs,"1,874",
560,17%,OFFRs,"155,000"
561,Rs,"130,849",
562,Rs,"45,150",
563,10%,OFFRs,"2,900"
564,Rs,"109,899",
565,Rs,"29,198",
566,Rs,"36,999",
567,Rs,"204,999",
568,Rs,"2,486",
569,Rs,"104,999",
570,16%,OFFRs,"60,000"
571,Rs,"53,279",
572,Rs,"37,999",
573,Rs,"116,999",
574,Rs,"42,579",
575,15%,OFFRs,"101,000"
576,Rs,"137,999",
577,4%,OFFRs,"57,500"
578,Rs,"73,999",
579,Rs,"44,299",
580,Rs,"2,599",
581,Rs,"2,599",
582,Rs,"162,499",
583,Rs,"45,150",
584,Rs,"162,499",
585,Rs,"1,949",
586,Rs,"44,999",
587,Rs,"59,999",
588,Rs,"2,098",
589,Rs,"11,879",
590,Rs,"38,999",
591,Rs,"19,716",
592,7%,OFFRs,"33,600"
593,Rs,"101,899",
594,Rs,"53,279",
595,Rs,"16,199",
596,Rs,"99,999",
597,9%,OFFRs,"17,000"
598,Rs,"13,949",
599,Rs,"15,999",
600,Rs,"44,999",
601,Rs,"9,833",
602,Rs,"2,599",
603,1%,OFFRs,"27,000"
604,Rs,"19,333",
605,Rs,"3,800",
606,Rs,"23,999",
607,Rs,"46,999",
608,Rs,"9,833",
609,12%,OFFRs,"105,000"
610,Rs,"2,549",
611,Rs,"29,198",
612,Rs,"59,999",
613,Rs,"105,999",
614,Rs,"204,999",
615,Rs,"213,649",
616,Rs,"109,999",
617,Rs,"139,499",
618,Rs,"37,999",
619,Rs,"99,999",
620,Rs,"46,999",
621,Rs,"119,999",
622,4%,OFFRs,"57,500"
623,9%,OFFRs,"116,000"
624,Rs,"15,449",
625,18%,OFFRs,"55,000"
626,Rs,"162,499",
627,9%,OFFRs,"21,200"
628,Rs,"23,999",
